id,year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
532408,2023,The Boogeyman,6.5,679,41900000,66978229,99,"Mystery, Thriller, Horror"
214756,2015,Ted 2,6.3,7010,68000000,215863606,115,"Comedy, Fantasy"
24428,2012,The Avengers,7.7,29512,220000000,1518815515,143,"Action, Adventure, Science Fiction"
313369,2016,La La Land,7.9,15844,30000000,447407695,129,"Drama, Romance, Music, Comedy"
268896,2018,Pacific Rim: Uprising,6.1,4603,150000000,290061297,111,"Science Fiction, Adventure, Fantasy, Action"
848538,2024,Argylle,0,0,0,0,135,"Action, Crime, Comedy"
417859,2011,Puss in Boots,6.6,3675,130000000,554987477,90,"Family, Adventure, Animation, Fantasy, Comedy"
45243,2011,The Hangover Part II,6.5,9950,80000000,586764305,102,Comedy
760741,2022,Beast,6.7,1353,0,56000000,93,"Action, Thriller, Horror"
844416,2023,Rumble Through the Dark,6.5,30,0,0,116,"Action, Thriller"
1008102,2023,Rally Road Racers,7.4,19,0,2900000,93,"Comedy, Family, Animation"
915935,2023,Anatomy of a Fall,7.7,517,6200000,18400000,152,"Drama, Mystery"
1008042,2023,Talk to Me,7.2,1996,4500000,92000000,95,"Thriller, Horror"
9502,2008,Kung Fu Panda,7.3,10743,130000000,631700000,90,"Adventure, Family, Animation, Comedy, Action"
168259,2015,Furious 7,7.2,10134,190000000,1515400000,137,"Action, Crime, Thriller"
620705,2023,Crater,6.7,221,0,0,104,"Family, Action, Science Fiction, Adventure"
438695,2021,Sing 2,7.9,4040,85000000,406000000,110,"Music, Comedy, Family, Animation"
587807,2021,Tom & Jerry,6.8,2330,50000000,136536687,101,"Family, Animation, Comedy"
392044,2017,Murder on the Orient Express,6.7,9403,55000000,352800000,114,"Drama, Crime, Mystery"
577922,2020,Tenet,7.2,8974,205000000,365304105,150,"Science Fiction, Thriller, Action"
1113278,2023,It's a Wonderful Knife,5.3,55,0,970781,87,"Horror, Comedy"
138103,2014,The Expendables 3,6.2,4708,95000000,214700000,126,"Action, Adventure, Thriller"
14161,2009,2012,5.8,11427,200000000,791217826,158,"Action, Science Fiction, Adventure"
296271,2023,The Devil Conspiracy,6.5,330,0,0,111,"Science Fiction, Thriller, Fantasy, Horror"
13313,1997,Beauty and the Beast: The Enchanted Christmas,6.2,943,0,0,72,"Animation, Fantasy, Family"
810693,2021,Jujutsu Kaisen 0,8.2,1174,0,195870885,105,"Animation, Fantasy, Action"
976573,2023,Elemental,7.7,3377,200000000,496000000,102,"Comedy, Family, Animation, Romance, Fantasy"
646380,2021,Don't Look Up,7.1,7445,75000000,791863,138,"Comedy, Drama, Science Fiction"
964980,2023,Air,7.4,1539,80000000,90100000,111,"Drama, History"
920081,2021,Megaboa,6.5,447,0,0,100,"Horror, Science Fiction, Action"
526896,2022,Morbius,6.1,3835,75000000,167500000,105,"Action, Science Fiction, Fantasy"
12,2003,Finding Nemo,7.8,18325,94000000,940335536,100,"Animation, Family"
638974,2023,Murder Mystery 2,6.5,1463,0,0,91,"Crime, Comedy"
64682,2013,The Great Gatsby,7.4,11669,105000000,351040419,143,"Drama, Romance"
536108,2018,Aragne: Sign of Vermillion,3,4,0,0,75,"Mystery, Fantasy, Horror, Animation"
1088812,2023,SpongeBob SquarePants Presents The Tidal Zone,7,30,0,0,45,"Adventure, Animation, Comedy"
260514,2017,Cars 3,6.9,5380,175000000,383925276,102,"Adventure, Family, Animation, Comedy"
953,2005,Madagascar,6.9,10264,75000000,542100000,86,"Animation, Adventure, Comedy, Family"
1830,2005,Lord of War,7.3,4410,50000000,72617068,122,"Crime, Thriller, Drama"
333339,2018,Ready Player One,7.6,14675,175000000,607274134,140,"Action, Science Fiction, Adventure"
505026,2022,Death on the Nile,6.5,3248,90000000,137307235,127,"Crime, Mystery, Thriller"
150689,2015,Cinderella,6.8,6768,95000000,543514353,105,"Family, Drama, Romance, Fantasy"
1024773,2023,It Lives Inside,5.9,110,0,4800000,99,"Mystery, Horror"
532639,2022,Pinocchio,6.4,1467,0,0,105,"Fantasy, Family, Adventure"
626735,2022,Dog,7.3,1371,20000000,84774243,102,"Comedy, Drama"
19908,2009,Zombieland,7.3,11643,23600000,102391540,88,"Horror, Comedy"
438148,2022,Minions: The Rise of Gru,7.4,3195,85000000,940000000,87,"Family, Comedy, Animation"
1060090,2023,The Collective,5.8,64,0,0,86,"Thriller, Action"
61979,2010,Three Steps Above Heaven,7.7,2836,0,0,122,"Drama, Romance"
10195,2011,Thor,6.8,20260,150000000,449326618,115,"Action, Fantasy, Adventure"
