year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2019,Dark Phoenix,6,6043,200000000,252442974,114,"Adventure, Fantasy, Science Fiction, Action"
2023,Ocho apellidos marroquís,6,8,0,0,97,Comedy
2023,Soccer Soul,6,4,0,0,96,Documentary
2023,Mr. Car and the Knights Templar,6,135,0,0,110,"Adventure, Family, Drama"
2020,Hyungsu: Forbidden Love,6,1,0,0,71,"Drama, Romance"
2009,The Twilight Saga: New Moon,6,8748,50000000,709827462,131,"Fantasy, Drama, Romance, Adventure"
2023,Til Death Do Us Part,6,50,0,0,109,"Horror, Action, Thriller"
2023,The Feast of Amrita,6,1,0,0,48,"Mystery, Horror, Animation, Fantasy"
2006,Aquaman,6,30,0,0,42,"Action, Adventure, TV Movie"
2022,The Soccer Football Movie,6,104,0,0,74,"Comedy, Family, Animation"
2018,The First Purge,6,3790,13000000,137056262,97,"Action, Thriller, Horror"
2023,NAGA,6,13,0,0,113,"Thriller, Comedy"
2023,Dark Harvest,6,146,0,0,96,"Horror, Thriller, Fantasy"
2021,Resident Evil: Welcome to Raccoon City,6,2239,25000000,41914915,107,"Horror, Science Fiction, Action"
2016,Mechanic: Resurrection,6,3142,40000000,125729635,98,"Action, Crime, Thriller"
2016,Jack Reacher: Never Go Back,6,4569,60000000,162100000,118,"Thriller, Action"
1983,The Key,6,362,0,0,110,"Romance, Drama"
2021,Ostap Bender. The Empire's Gold,6,34,0,0,87,"Comedy, Adventure, Action"
2016,Batman v Superman: Dawn of Justice,6,17281,250000000,873637528,152,"Adventure, Fantasy, Action"
2023,Boudica,6,95,0,0,101,"Action, War"
2023,It Lives Inside,5.9,110,0,4800000,99,"Mystery, Horror"
1994,Ri¢hie Ri¢h,5.9,2113,40000000,38087756,95,"Comedy, Family"
2014,Exodus: Gods and Kings,5.9,4303,140000000,268031828,150,"Action, Drama, Adventure"
2023,57 Seconds,5.9,241,0,0,99,"Action, Science Fiction, Thriller"
2023,There's Something Wrong with the Children,5.9,151,0,0,92,"Horror, Mystery, Thriller"
2020,Night on Earth: Shot in the Dark,5.9,12,0,0,59,Documentary
2023,Mother's Day,5.9,193,0,0,94,Thriller
2018,Robin Hood,5.9,2809,100000000,86493046,116,"Thriller, Action, Adventure"
2020,Crypto Legacy,5.9,4,0,0,71,"Thriller, Horror, Action"
2015,Fifty Shades of Grey,5.9,11235,40000000,571000000,125,"Drama, Thriller, Romance"
2018,The Nun,5.9,6315,22000000,366082797,96,"Horror, Thriller, Mystery"
2016,Suicide Squad,5.9,20314,175000000,746846894,123,"Fantasy, Action, Adventure"
2014,Teenage Mutant Ninja Turtles,5.9,6478,125000000,485000000,101,"Adventure, Action, Comedy, Science Fiction"
2021,Send It!,5.9,11,0,0,101,"Comedy, Action, Adventure"
2015,Terminator Genisys,5.9,7983,155000000,440603537,126,"Action, Thriller, Science Fiction, Adventure"
2014,Transformers: Age of Extinction,5.9,7704,210000000,1104100000,165,"Action, Adventure, Science Fiction"
2009,2012,5.8,11427,200000000,791217826,158,"Action, Science Fiction, Adventure"
2023,The Collective,5.8,64,0,0,86,"Thriller, Action"
2022,Deep Water,5.8,1160,4,0,116,"Mystery, Thriller, Drama"
2022,365 Days: This Day,5.8,1268,0,0,111,"Drama, Romance"
2023,Awareness,5.8,122,0,0,112,"Mystery, Thriller, Action, Science Fiction"
2023,Appendage,5.8,93,0,0,94,Horror
2023,A Really Haunted Loud House,5.8,16,0,0,72,"TV Movie, Comedy, Family"
